time,o,h,l,c,volume,complete
2020-11-19 10:20:30,1.18223,1.18238,1.18216,1.18237,87,True
2020-11-19 10:21:00,1.18236,1.18244,1.18232,1.18242,57,True
2020-11-19 10:21:30,1.18241,1.18241,1.1822,1.18228,75,True
2020-11-19 10:22:00,1.18229,1.18248,1.18225,1.18248,79,True
2020-11-19 10:22:30,1.18246,1.18246,1.18232,1.18241,80,True
2020-11-19 10:23:00,1.18242,1.1825,1.18242,1.18247,36,True
2020-11-19 10:23:30,1.18246,1.18246,1.18224,1.18224,47,True
2020-11-19 10:24:00,1.18226,1.18228,1.18224,1.18226,31,True
2020-11-19 10:24:30,1.18224,1.18224,1.18217,1.18224,37,True
2020-11-19 10:25:00,1.18224,1.1824,1.18221,1.18237,45,True
2020-11-19 10:25:30,1.18238,1.1824,1.18226,1.18235,35,True
2020-11-19 10:26:00,1.18236,1.18236,1.18227,1.18234,42,True
2020-11-19 10:26:30,1.18232,1.18237,1.18228,1.18237,27,True
2020-11-19 10:27:00,1.18236,1.18238,1.18226,1.18226,23,True
2020-11-19 10:27:30,1.18226,1.1823,1.18224,1.18226,31,True
2020-11-19 10:28:00,1.18224,1.18226,1.18216,1.1822,31,True
2020-11-19 10:28:30,1.18221,1.18232,1.18219,1.18232,33,True
2020-11-19 10:29:00,1.18232,1.18234,1.18213,1.18216,34,True
2020-11-19 10:29:30,1.18214,1.18216,1.18201,1.18213,64,True
2020-11-19 10:30:00,1.18212,1.18223,1.18199,1.18218,51,True
2020-11-19 10:30:30,1.1822,1.1822,1.1821,1.18215,25,True
2020-11-19 10:31:00,1.18214,1.1823,1.18213,1.1823,33,True
2020-11-19 10:31:30,1.18232,1.18236,1.18226,1.18233,60,True
2020-11-19 10:32:00,1.18234,1.18241,1.18232,1.18236,45,True
2020-11-19 10:32:30,1.18238,1.18239,1.18231,1.18236,29,True
2020-11-19 10:33:00,1.18238,1.18252,1.18236,1.1825,42,True
2020-11-19 10:33:30,1.18252,1.18256,1.18248,1.1825,30,True
2020-11-19 10:34:00,1.18252,1.18256,1.18246,1.18254,33,True
2020-11-19 10:34:30,1.18255,1.18263,1.18251,1.18263,47,True
2020-11-19 10:35:00,1.18264,1.18264,1.1825,1.18254,39,True
2020-11-19 10:35:30,1.18254,1.18269,1.18252,1.18268,45,True
2020-11-19 10:36:00,1.18268,1.18274,1.18265,1.18273,34,True
2020-11-19 10:36:30,1.18272,1.18273,1.1826,1.18265,24,True
2020-11-19 10:37:00,1.18264,1.18264,1.18256,1.1826,27,True
2020-11-19 10:37:30,1.1826,1.1826,1.18236,1.18243,75,True
2020-11-19 10:38:00,1.18242,1.18263,1.18242,1.1825,66,True
